cart_value,category,user_is_prime,payment_methods_available,card_type,offer_type,min_cart_value,max_discount,discount_percent,requires_coupon,is_first_use,valid_on_app_only,times_used_in_month,final_discount
4058.131129049944,Books,0,"[1, 0, 1, 1, 1, 0, 0]",Amazon Pay Card,Cashback,617.8904781519434,497.2479128499754,24.0558018686122,0,0,1,1,497.16614319710766
9531.785910894203,Fashion,1,"[0, 0, 1, 1, 1, 1, 1]",HDFC Credit,Instant Discount,1923.4703652328421,80.98432902205195,25.873587768545622,1,0,1,0,91.2050536103493
7453.942447208348,Beauty,1,"[1, 0, 1, 1, 1, 1, 1]",Amazon Pay Card,No Cost EMI,1671.373231445154,440.2362550197315,25.804228497533156,0,0,1,3,464.0212979282518
6187.255599871848,Home,1,"[1, 0, 0, 0, 1, 0, 0]",Axis Credit,Instant Discount,4327.278333694851,242.471237771196,24.61778446748822,0,1,1,0,282.4735628362591
1982.177084203147,Grocery,0,"[0, 0, 0, 0, 0, 1, 0]",Axis Credit,Cashback,2388.4675034714583,254.8050569174599,12.604890743317771,1,0,0,4,228.78855990138587
1981.947943193925,Grocery,1,"[1, 1, 0, 1, 0, 1, 0]",HDFC Credit,No Cost EMI,4982.232086740688,107.41770214307624,18.048755494583155,1,1,1,4,115.74514406132387
1051.7943155978949,Grocery,1,"[0, 0, 0, 1, 0, 1, 0]",Axis Credit,No Cost EMI,3685.2737315157237,65.04483845922279,12.492619504371795,0,0,1,3,72.34794336154141
8728.673384861884,Home,1,"[1, 0, 1, 1, 1, 0, 1]",Other,Instant Discount,4254.617877021428,192.48274673124496,13.57414766771782,1,0,0,3,224.42141579216548
6210.592611560483,Electronics,1,"[0, 0, 1, 0, 1, 1, 0]",Other,No Cost EMI,493.36133013337445,128.68408990126818,12.53047208970506,1,0,1,3,152.07883230649054
7226.689489062433,Home,0,"[1, 1, 0, 0, 0, 0, 0]",Other,Instant Discount,1265.5112763244797,267.5024402320902,12.105676200040994,0,0,0,0,253.82809155812413
695.5526958101233,Electronics,1,"[0, 0, 0, 1, 1, 1, 1]",SBI Credit,No Cost EMI,677.2309778591413,116.29873672419738,22.335541812714112,1,1,1,0,121.30355182017969
9714.143595538946,Grocery,1,"[0, 0, 1, 0, 1, 0, 0]",Amazon Pay Card,Cashback,2318.1098620027983,112.06748142602409,21.256592482865436,0,1,0,3,120.0263099126515
8408.205087604007,Books,0,"[1, 1, 0, 1, 1, 0, 0]",SBI Credit,Cashback,3591.437440809549,444.6405428467323,10.106605865578103,0,0,0,0,438.19819722742426
2517.2215514436234,Books,1,"[0, 1, 1, 1, 0, 1, 1]",Axis Credit,Instant Discount,845.3178410150008,464.58261559688407,22.28796800250085,1,0,1,4,546.6505347434269
2227.337188467456,Electronics,0,"[0, 1, 0, 0, 0, 1, 1]",HDFC Credit,No Cost EMI,650.842722848694,483.89729386455946,12.276714898528613,0,0,0,1,246.51350952063203
2242.342843607621,Grocery,0,"[0, 1, 0, 0, 0, 0, 1]",Other,No Cost EMI,3073.0437439022016,356.22609929326035,10.042958363745058,0,1,1,2,233.5280693246132
3390.301308115608,Home,0,"[1, 1, 1, 0, 0, 0, 1]",HDFC Credit,Instant Discount,1151.5637688171198,396.95742715814123,23.681297010048187,0,0,1,3,374.7324787754894
5485.186100506259,Books,1,"[0, 1, 1, 0, 1, 1, 1]",SBI Credit,Cashback,2396.6253587687047,426.10313985918316,14.071702320220753,1,0,0,4,504.560847802114
4603.4776771001,Electronics,0,"[1, 0, 0, 0, 1, 0, 1]",Axis Credit,Cashback,255.5886386385886,346.51492660429903,19.233763108116598,1,1,0,0,333.8565681036903
3266.6768318813984,Home,0,"[0, 0, 0, 0, 1, 0, 0]",Amazon Pay Card,Cashback,3403.064060337324,198.60939711613813,10.00309901164066,1,0,0,2,200.10119407929392
6312.602499862605,Grocery,0,"[0, 0, 1, 1, 0, 1, 1]",Axis Credit,Instant Discount,2706.581908210268,120.37414929508584,20.342345933147996,1,1,0,3,116.2582066483938
1825.1916761943974,Fashion,1,"[0, 0, 1, 0, 1, 1, 1]",Other,Cashback,3237.114494793164,156.77298822116754,10.199835864708014,0,1,0,0,169.87323561281403
3275.3741610845723,Grocery,0,"[0, 0, 1, 0, 1, 1, 1]",Axis Credit,Instant Discount,1377.0319002987303,428.18632313223316,9.171923085840035,0,0,1,0,301.7504992264925
3980.437511290071,Grocery,0,"[1, 0, 0, 0, 1, 0, 0]",HDFC Credit,Cashback,1393.0148768076556,363.24375722907854,14.663214294627748,1,0,1,2,381.2270379409164
4832.664850061841,Home,0,"[1, 1, 1, 1, 1, 1, 1]",ICICI Debit,Cashback,4006.8026654537907,255.1080935867682,24.75154598537289,0,0,0,0,235.75848035278534
7959.171633233629,Home,1,"[0, 0, 0, 1, 1, 1, 0]",Other,Instant Discount,3592.811564924131,63.23228473120372,9.413358706501192,0,0,0,2,67.49982731573908
2396.9009305044174,Beauty,0,"[0, 0, 1, 1, 1, 0, 0]",Amazon Pay Card,No Cost EMI,2898.643255993073,169.79196669524742,7.925664187839372,1,1,1,4,174.53381693180947
5385.227164929311,Beauty,0,"[1, 1, 0, 0, 0, 0, 0]",Other,No Cost EMI,3140.7173789104027,378.0038719065937,5.791192311545396,1,0,1,3,317.40765513254655
6127.938404189404,Home,1,"[1, 1, 0, 0, 1, 1, 0]",Other,No Cost EMI,470.2208975055272,280.5742557927603,15.399143913260712,1,1,0,0,325.9663168244935
941.2789208399784,Home,1,"[1, 1, 1, 1, 0, 0, 1]",Amazon Pay Card,Cashback,4280.856522256267,245.9896225171025,12.050626622422756,0,0,1,1,134.4822041631927
6271.676093063665,Fashion,1,"[1, 1, 1, 0, 0, 0, 1]",Other,Cashback,3849.5351650583134,191.1557303509585,12.302711265307469,1,1,0,2,193.2003664885122
2119.9791750292698,Fashion,0,"[0, 1, 1, 0, 1, 1, 0]",HDFC Credit,No Cost EMI,2952.4576691172383,323.11932375966074,29.548548569878687,1,0,0,4,336.93859787844593
1117.9901333601554,Grocery,0,"[1, 1, 0, 0, 1, 1, 1]",Axis Credit,Cashback,4592.975655504536,484.87342341726014,9.853085072625529,0,1,1,1,105.39789278146806
9514.412603906665,Books,0,"[0, 1, 1, 1, 1, 1, 0]",HDFC Credit,Cashback,843.1895384969989,455.5056394838777,16.460676262985384,1,0,1,3,453.8099608886901
9673.504314208314,Fashion,0,"[1, 0, 1, 1, 1, 1, 1]",Axis Credit,No Cost EMI,3433.2869301708342,63.72407213792691,29.659204280975132,1,1,1,4,65.35252499822582
8179.774807106381,Grocery,1,"[1, 0, 1, 1, 0, 1, 0]",ICICI Debit,Instant Discount,4814.908888260804,266.42922016255056,5.765451315550322,0,0,0,2,272.5928599239967
3393.8308071470215,Electronics,0,"[0, 0, 1, 0, 1, 1, 1]",Other,No Cost EMI,1550.0448228496045,198.26118412112646,22.416436116884014,1,1,1,4,192.17811916416773
1427.8850830606468,Beauty,1,"[0, 1, 1, 0, 0, 1, 1]",ICICI Debit,No Cost EMI,76.46157033754764,279.77209805291045,14.277073806335496,1,0,0,4,245.59816321403682
7000.213751865491,Books,0,"[0, 1, 0, 1, 1, 1, 1]",SBI Credit,Instant Discount,3674.3373348456653,322.7961604422716,27.652440340294163,0,0,1,4,299.3157775701427
4681.448690526212,Grocery,0,"[1, 1, 0, 0, 0, 0, 1]",Axis Credit,Cashback,34.901622280635316,140.01263059889607,27.798535943176848,1,0,0,3,128.34489601990344
1659.3632310253988,Home,0,"[0, 1, 0, 0, 1, 1, 1]",HDFC Credit,No Cost EMI,4362.668245910835,401.70563129671535,14.680318398482225,1,0,0,1,260.00860537295165
5204.180646057067,Electronics,1,"[0, 0, 0, 0, 0, 1, 0]",HDFC Credit,No Cost EMI,281.5062605178492,263.78062253868484,10.536586632006607,0,1,0,4,286.13332758946734
826.6909505945748,Beauty,1,"[1, 0, 1, 0, 1, 0, 0]",Other,Cashback,3263.823649359386,496.40272470421075,15.700085957520505,0,1,1,0,147.7613185867407
9138.543819748429,Electronics,1,"[0, 1, 0, 0, 1, 0, 1]",HDFC Credit,Cashback,1885.920722115752,61.30732358460254,29.132656865359937,1,0,1,4,64.81787736888637
2958.409825200161,Grocery,1,"[1, 1, 1, 0, 0, 0, 0]",SBI Credit,Instant Discount,1016.7032685836641,135.37362928390633,12.034964728011335,0,0,0,4,139.92965654448497
6793.9617013628285,Fashion,0,"[1, 0, 0, 1, 1, 1, 0]",Amazon Pay Card,Cashback,4491.291999269145,360.33341025217914,29.532944955825815,0,1,1,3,339.61246251201317
3461.255222849404,Beauty,0,"[1, 1, 1, 0, 1, 1, 0]",HDFC Credit,No Cost EMI,3731.229259634311,362.8308859365015,25.484787444920677,1,0,1,3,340.74094368401416
5440.646201189203,Electronics,0,"[0, 0, 1, 0, 0, 0, 1]",Other,Cashback,1702.2028307163007,311.9847009876252,11.686308288404755,0,1,0,3,296.19651545365303
5693.7476537611565,Fashion,0,"[1, 1, 1, 0, 1, 0, 1]",ICICI Debit,Cashback,1420.765464286125,487.3820129107829,24.77673667707253,1,1,1,3,460.20758108981084
2256.117327492507,Books,0,"[0, 0, 1, 1, 1, 1, 1]",HDFC Credit,Instant Discount,3680.061470805697,236.89175392397004,6.244986078303176,1,0,1,4,149.73385153541486
9711.053963763306,Grocery,1,"[0, 0, 1, 0, 1, 0, 1]",HDFC Credit,Instant Discount,4182.853813031652,237.66656543038374,18.70158441385982,0,0,0,4,263.1740380950305
7863.761821930589,Grocery,1,"[0, 1, 0, 1, 1, 1, 1]",HDFC Credit,No Cost EMI,3579.252321479047,459.714363450878,13.933728479219674,0,1,1,2,485.1046119823028
9425.239944859797,Beauty,0,"[0, 0, 0, 1, 1, 0, 0]",Other,No Cost EMI,3199.946125178707,292.2988018985648,15.6733999595927,0,1,0,3,283.24081573041525
9000.859829062663,Electronics,0,"[1, 0, 0, 1, 0, 1, 0]",Amazon Pay Card,Cashback,1139.6236259432442,209.1774477135202,16.82135845185644,1,1,1,2,228.32965774722845
6180.049798705309,Books,0,"[1, 1, 1, 0, 0, 1, 0]",HDFC Credit,No Cost EMI,4264.019916382361,373.52209362523655,17.5678190049816,0,1,1,1,349.90577222870076
9257.80523271961,Home,0,"[1, 1, 1, 0, 1, 1, 1]",Amazon Pay Card,No Cost EMI,3748.309917291874,328.85177818438734,21.41030686222468,1,1,1,3,354.28873606978146
1340.6787694932352,Beauty,1,"[1, 0, 0, 1, 1, 0, 1]",Amazon Pay Card,Cashback,2586.371448832072,187.88452262896618,22.419425694556573,0,0,1,1,216.46116905138805
2361.8371929818795,Home,0,"[0, 0, 1, 1, 0, 1, 1]",SBI Credit,Cashback,2557.9388113339037,184.06795913654705,29.3926009154624,1,1,0,0,188.24455201893488
929.6592446501116,Beauty,0,"[0, 0, 0, 0, 1, 1, 1]",ICICI Debit,Cashback,2845.8651390367318,228.02575888726463,24.069466718112025,1,0,0,4,229.31751032058867
3590.6381422510112,Electronics,0,"[0, 1, 1, 0, 0, 1, 0]",HDFC Credit,Instant Discount,4141.381970893313,82.22902954708714,22.194944392920032,0,1,1,4,80.96171422814048
4192.4342520500795,Books,0,"[1, 1, 0, 1, 0, 1, 1]",HDFC Credit,Instant Discount,3711.2977441877874,474.1776061194376,14.811472098267835,1,1,1,2,468.3784779950279
3077.815801852011,Electronics,1,"[1, 1, 0, 0, 0, 0, 1]",HDFC Credit,Cashback,4281.224969729416,132.35901808849928,7.945201612181133,1,0,1,4,154.21651027222953
8373.00633694333,Grocery,0,"[0, 0, 1, 0, 1, 1, 1]",Amazon Pay Card,Instant Discount,2536.413858293612,137.22093604747425,6.4697104861417065,1,0,1,1,145.75231648766325
3889.1566035890983,Home,1,"[0, 1, 0, 1, 0, 0, 1]",Axis Credit,Instant Discount,3123.2452950912857,341.1672822576849,16.942117758128617,0,1,1,4,380.62487729270015
3168.8778420301173,Fashion,1,"[0, 0, 1, 1, 0, 0, 1]",ICICI Debit,Instant Discount,4272.859034479898,375.91117128491504,21.706417815681526,0,1,0,3,435.71502517381555
5655.612790003361,Grocery,0,"[0, 0, 1, 0, 0, 0, 0]",Other,No Cost EMI,1161.600300883577,381.5759568199426,21.253996281460346,0,1,1,0,405.2378067939655
1838.780137260245,Grocery,0,"[1, 0, 0, 0, 1, 0, 0]",HDFC Credit,Cashback,2220.10340128112,218.78376057690397,28.82153550437795,0,0,1,2,211.43748547449513
8120.871317163377,Home,0,"[1, 1, 1, 1, 1, 1, 1]",Axis Credit,Cashback,3103.261184896935,442.99802880946646,14.560749331058496,0,0,1,2,453.9275599059035
1208.2311149578227,Beauty,0,"[0, 1, 1, 1, 0, 1, 0]",Axis Credit,No Cost EMI,4575.731286790507,294.7995777866199,20.69459533099006,0,1,0,2,246.82775936342563
9875.425897704914,Grocery,0,"[0, 1, 1, 0, 1, 1, 1]",Axis Credit,Instant Discount,79.18005523062487,247.36439847314998,27.196845547006124,0,1,0,3,227.48164667586502
7836.325308318245,Books,1,"[0, 1, 0, 0, 0, 1, 1]",ICICI Debit,Cashback,1062.8657908661376,414.6739073895503,15.101943914449906,1,1,0,4,469.68556114535266
2387.798974574638,Grocery,1,"[0, 0, 1, 0, 0, 1, 0]",Axis Credit,Instant Discount,1172.2525388064519,159.60256215072695,16.943578821267142,1,0,0,3,178.63460704431012
552.4601126742228,Books,1,"[1, 0, 1, 1, 1, 1, 0]",Other,No Cost EMI,1633.0634013089712,437.0834495459836,28.07432239777203,0,0,1,1,157.04926495612287
